员工ID,姓名,部门,职级,入职日期,月薪,绩效分,在职
EMP0001,员工1,市场,高级,2020-05-10,19284,77.7,True
EMP0002,员工2,财务,中级,2023-11-06,24023,77.7,True
EMP0003,员工3,人事,资深,2020-02-09,10433,75.4,True
EMP0004,员工4,财务,中级,2018-01-22,49434,75.3,True
EMP0005,员工5,人事,专家,2023-08-10,8189,82.2,True
EMP0006,员工6,研发,初级,2021-06-21,11890,72.3,True
EMP0007,员工7,销售,资深,2024-01-24,16433,78.6,True
EMP0008,员工8,人事,初级,2023-11-10,25159,79.7,True
EMP0009,员工9,研发,初级,2024-03-03,11943,75.5,True
EMP0010,员工10,销售,高级,2022-02-09,8161,95.2,True
EMP0011,员工11,运维,高级,2020-09-22,19534,78.8,True
EMP0012,员工12,财务,中级,2018-12-04,29243,77.0,True
EMP0013,员工13,研发,初级,2019-05-08,48774,61.2,True
EMP0014,员工14,市场,高级,2021-03-08,21986,66.3,True
EMP0015,员工15,财务,资深,2019-01-14,46952,71.0,True
EMP0016,员工16,财务,高级,2022-10-18,18965,78.9,True
EMP0017,员工17,市场,初级,2020-08-18,21773,84.7,True
EMP0018,员工18,市场,中级,2019-02-02,29518,87.4,True
EMP0019,员工19,市场,初级,2022-01-24,49523,97.9,True
EMP0020,员工20,财务,中级,2024-03-28,41827,85.8,False
EMP0021,员工21,市场,初级,2022-09-19,10693,65.2,True
EMP0022,员工22,市场,中级,2023-06-05,18230,77.7,True
EMP0023,员工23,研发,初级,2024-02-16,9306,92.7,True
EMP0024,员工24,市场,中级,2019-12-11,11748,77.1,True
EMP0025,员工25,人事,初级,2021-06-11,15994,82.1,True
EMP0026,员工26,运维,专家,2021-02-10,25675,59.8,True
EMP0027,员工27,研发,专家,2022-06-25,34736,79.4,True
EMP0028,员工28,研发,中级,2022-10-26,29556,83.4,True
EMP0029,员工29,运维,初级,2022-08-23,12931,77.9,True
EMP0030,员工30,财务,中级,2018-10-21,8197,73.1,True
EMP0031,员工31,研发,初级,2024-01-01,28666,97.1,True
EMP0032,员工32,市场,中级,2023-06-10,9734,88.7,True
EMP0033,员工33,销售,高级,2023-05-14,9802,72.2,False
EMP0034,员工34,人事,初级,2022-06-23,33199,76.8,True
EMP0035,员工35,销售,专家,2020-05-30,28932,82.6,True
EMP0036,员工36,市场,资深,2022-08-10,20183,87.8,True
EMP0037,员工37,人事,资深,2022-07-07,10557,70.1,True
EMP0038,员工38,研发,初级,2020-08-14,46467,69.1,True
EMP0039,员工39,人事,中级,2021-07-24,41986,88.2,True
EMP0040,员工40,运维,初级,2019-04-15,22373,99.0,False
EMP0041,员工41,运维,资深,2019-07-17,38746,80.1,True
EMP0042,员工42,研发,初级,2020-08-17,48764,94.5,True
EMP0043,员工43,研发,初级,2019-07-01,26589,78.8,False
EMP0044,员工44,研发,初级,2019-12-01,18492,87.4,True
EMP0045,员工45,研发,中级,2023-06-30,34641,87.1,True
EMP0046,员工46,运维,初级,2023-03-11,15455,80.9,True
EMP0047,员工47,销售,初级,2022-08-14,18729,83.6,True
EMP0048,员工48,财务,初级,2018-09-03,46754,85.6,True
EMP0049,员工49,财务,初级,2024-09-21,32376,68.2,True
EMP0050,员工50,运维,资深,2019-02-04,21403,84.9,True
EMP0051,员工51,运维,中级,2022-12-29,30677,75.9,True
EMP0052,员工52,运维,中级,2020-04-17,35236,80.8,True
EMP0053,员工53,人事,专家,2022-05-15,29606,103.9,True
EMP0054,员工54,销售,中级,2018-09-26,26077,98.4,True
EMP0055,员工55,市场,中级,2018-04-30,33945,85.0,True
EMP0056,员工56,销售,初级,2020-12-17,15805,88.7,True
EMP0057,员工57,财务,初级,2019-05-03,11343,101.3,True
